abb,exp,chemical,disease,simple_chemical
V,Vomiting,"Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide",acites,Feliway
VMI,Very Much Improved,Dioctyl sodium sulfosuccinate,acne,Feliway Owner
WNL,Within Normal Limits,Doxycycline,acute allergic rhinitis,Florinef
WT,Weight,Drontal,acute pain,Fluor
Yo,Years Old,Drops,adenitis,Fluorescein
ABG,Arterial blood gas,EDFU,adenocarcinoma,Fluoresceine
ACT,Activated clotting time,EUGA,Adv 'd end stage,Frusemide Â 
ACTH,Adrenocorticotropic hormone,Exocin,Adv infection,Fucithalmic
ADH,Antidiuretic hormone,Extract RL carnassial/ suture,Adv ptyalism,Furosemide
Ag,Antigen,FDI - Nobivaclepto4 A120A01 Â ,adventitious lung,Galastop
A:G,Albumin globulin ratio,FIC-,aggression,Glucose
AGID,Agar gel immunodiffusion,FeLV:6YDG01,aggressive behaviour,Glutamic-oxaloacetic glutamate-oxaloacetate transaminase
AHT,Animal health technician,Feliway,agitation,Inj Metacam
AI,Artificial insemination,Flea/worming,airway disease,Inj Metacam -adv
ALB,Albumin,Florinef,airway dz - bronchial,Inj dex
ALP,Alkaline phosphatase,Fls,airway retch,Inj dexafort
ALT,Alanine aminotransferase ,Flu,airway syndrome,Inj dexafort 0.2ml
AML,Acute myeloid leukemia,Fluorescein,allergic,Inj prevomax
AMS,Amylase,Fluoresceine,allergic - keep,Inj synuclav
ANA,Antinuclear antibody,Fluoroscein,allergic dermatitis,Intranasal ! ''
APHIS,Animal and Plant Health Inspection Service,Fluorosceine,allergic dzz,Intranasal - Owner
APTT,Activated partial thromboplastin time,Frusemide,allergic itch,Intranasal 1
ARP,American Registry of Pathology,Fucithalmic,allergic otitis,Intranasal 1 day
AST,Aspartate aminotransferase,Furosemide,allergic process,Intranasal 1 mo - FOC
ASVCP,American Society for Veterinary Clinical Pathology,Gabapentin,allergic reaction,Intranasal 1 month
AT-III,Antithrombin III,Galastop,allergic skin,Intranasal 1 mth
ATP,Adenosine triphosphate,Gamma-aminobutyric acid,allergic skin disease,Intranasal 1 week
AVMA,American Veterinary Medical Association,Gaveone,allergies,Intranasal 1 week - worm
BA,Bile acids,Gd,Allergy,Intranasal 1 week-
BAL,Bronchoalveolar lavage,Glucose,allergy,Intranasal 1 weeks
BIV,Bovine immunodeficiency-like virus,Gpig,allergy-,Intranasal 1 year
BHV,Bovine herpes virus,Granulate,allergy dermatitis,Intranasal 1-2
BLD,Blood,"Gv4,4x",allergy/atopy,Intranasal 1-2wks
BLV,Bovine leukemia virus,HC - denatl tartar,aloe,Intranasal 12
BM,Bone marrow,HLS,Alopecia,Intranasal 12 days
BMBT,Buccal mucosal bleeding time,HPC-,alopecia,Intranasal 12 weeks
BP,Blood pressure,HPC/Insurance,Alopecic,Intranasal 14
BRT,Brucella milk ring test,HPM G1,alopecic,Intranasal 1mo
BUN,Blood urea nitrogen,HQ,anaemia,Intranasal 2
BVD,Bovine viral diarrhea,Hind - D3 - nail capsule elevated and off quick - .,Anal Adenoma Bleeding,Intranasal 2 days
Bx,Biopsy,Hind - D3 nail capsule removed and,Anal furunculosis lesion,Intranasal 2 months - before
C,& S Culture and sensitivity,Hist,anal gland abcesses,Intranasal 2 weeks
Ca,Calcium,Hls,Anal gland abscess,Intranasal 2 weeks- nobivacdhp
Ca++,Ionized calcium,IFNB,anal gland infection,Intranasal 2 weeksfor flea
CBC,Complete blood count,INAPETANCE,anal gland inflammation,Intranasal 2 wk/deterioration
CEM,Contagious equine metritis,KCS/,anal gland smell,Intranasal 2-3
CFT,Complement fixation test,KEO,anal glands,Intranasal 2-3weeks
Chol,Cholesterol,KMnO4,anal glands - compltely empty - were,Intranasal 2-4
CK, Creatine kinase ,Kc/rhinitis,anal glands - expressed,Intranasal 2.5
Cl,Chloride,Ket,anal glands - full,Intranasal 2m
CLL,Chronic lymphocytic leukemia,L4/KC A033A01/A064A01,anal glands - small,Intranasal 3
CMI,Cell mediated immunity,L4/KC A054A01/a077C01,"anal glands , heart condition",Intranasal 3 - 5
CMT,California mastitis test,L4/dhp,"anal glands , rubbing his",Intranasal 3 and
CNS,Central nervous system,L4/kc A032A02/A066C02,anal glands empty,Intranasal 3-4
CO2,Carbon dioxide,L4DHP,anal sac adenocarcinoma,Intranasal 3-5
Crea,Creatinine,LI,anal sac carcinoma,Intranasal 3-5d
CRP,C-reactive protein,LITRES A,anal sacculitis,Intranasal 30-60mins
CRT,Capillary refill time,LN-WNL,anamia,Intranasal 4
CSF,Cerebrospinal fluid,LNWNL,anat abnormalities,Intranasal 4 days
cTnI,Cardiac troponin I,LU,Anorexia,Intranasal 4 days if reqd
cTnT,Cardiac troponin T,LU carnassial/ small pea sized skin nodule Intranasal skin over Liters stifle/,anorexia,Intranasal 4 months ( Â Kennel
CVT,Certified Veterinary Technician,LU decid canine mobile,Anorexic,Intranasal 4 weeks
D,Diarrhea,Lastnight,anorexic,Intranasal 4 weeks - 2nd lepto4
DIC,Disseminated intravascular coagulation,Legalon,Anterior luxation,Intranasal 4 weeks time-o
dl,deciliter,Lepto4,anus bulging,Intranasal 4 wks
DM,Diabetes mellitus,Lethargy/inappetence,Anus Vomiting sore,Intranasal 4 wks ''
DMSO,Dimethyl sulfoxide,Li11,anxiety,Intranasal 4 ww
DNA,Deoxyribonucleic acid,Ln-nad,anxious behaviour today - bloods to LO,Intranasal 4-5
DST,Dexamethasone suppression test,Loxicom,Appeared,Intranasal 4-6
DTM,Dermatophyte test medium,MMS,Appetite,Intranasal 5-7
Dx,Diagnosis,MNZ,arrhythmia,Intranasal 6-8
ECF,Extracellular fluid,MTZ,arrhythmias,Intranasal 7
E,coli Escherichi coli,MUZZLE,Arthritis,Intranasal 7 days
EDTA,Ethylenediamine tetra acetic acid,Marbofloxacin,arthritis,Intranasal 7 days !
EEE,Eastern equine encephalomyelitis,Maxitrol,ascites,Intranasal 7 days Owner Reports sooner if Owner
EIA,Equine infectious anemia,Meib adenoma,ataxia,Intranasal 7 days/
ELF,Enzyme-labeled fluorescence,Melatonin,Ataxic,Intranasal 7-10
ELISA,Enzyme-linked immunosorbent assay,Melox,atopic,Intranasal 7-10d then faecal sample
EM,Electron microscopy,Metacam,atopic dermatitis,Intranasal 7-14
EPG,Eggs per gram of feces,Methadone,atopica,Intranasal 7d if Iodine have
EPM,Equine protozoal myeloencephalitis,Metoclopromide,Atopy,Intranasal 9
EPO,Erythropoietin,Metronidazole,atopy / allergy,Intranasal AM
ERD,Early renal detection / disease,NAD,Atrial Fibrillation anal masses,"Intranasal Diethylcarbamazine N,N-diethyl-4-methyl-1-piperazinecarboxamide"
ESR,Erythrocyte sedimentation rate,NAD-,Atrial septal defect,Intranasal Intra-thoracic esp RAG
EVA,Equine viral arteritis,NO,aural haematoma,Intranasal bet 9th
FDP,Fibrin degradation products,NSADs,aural irritation,Intranasal centre Owner Reports at right
Fe,Iron,Nitrite,back legs erythema,Intranasal con - suspect
FFP,Fresh frozen plasma,Nobiva Nobivaclepto4 A081A01,back legs esp,Intranasal dantrium as
FeLV,Feline leukemia virus,Nobivaclepto2,bacterial conjunctivitis,Intranasal desc colon
FHV,Feline herpes virus,Nobivaclepto2 A426A01,bacterial cystitis,Intranasal discomfort .
FIA,Feline infectious anemia,Nobivaclepto2 a418a01 04/19,bacterial infection,Intranasal fine EDUD fien
FIP,Feline infectious peritonitis,Nobivaclepto2,bad - Vomiting,Intranasal furosemide if
FIV,Feline immunodeficiency virus,Nobivaclepto4,bad breath,Intranasal horiz ear canal
fl,Femtoliter,Nobivaclepto4,bad cough,Intranasal inguinal area
FNA,Fine needle aspirate,Nobivaclepto4 - RC weight then,bad eye,Intranasal isathal again
FSH,Follicle stimulating hormone,Nobivaclepto4 - a009a02,bad leg,Intranasal neck region
FT4,"Thyroxin, free",Nobivaclepto4 A034A01,"bad mouth smell , eating maybe",Intranasal salt water
GES,Group E streptococcus,Nobivaclepto4 A036A01,bad smell,Intranasal salty water
GFR,Glomerular filtration rate,Nobivaclepto4 A046A01,bad teeth,Intranasal topical shampoos .
GGT,Gamma-glutamyl transferase,Nobivaclepto4 A047A01 exp 11/18,bad vaginitis,Intravenous
GH,Growth hormone,Nobivaclepto4 A063A01,beeinng limping,Intravenous Fluid Therapy
GHRH,Growth hormone-releasing hormone,Nobivaclepto4 A076A02,behaviour - clinginess,Intravenous fluids
GnRH,Gonadotropin releasing hormone,Nobivaclepto4 A079A02,Belly bandage,Intravenous fluids/bloods -
GTT,Glucose tolerance test,Nobivaclepto4 A080A01,benign melanoma,Intravenous marbocyl
"Hb,",Hgb Hemoglobin,Nobivaclepto4 A082A01,benign nodular hyperplasia,Intravenous vetergesic
HCl,Hydrochloric acid,Nobivaclepto4 A082A03,bilat and small cataract,Iodine
HCO3,Bicarbonate,Nobivaclepto4 A085A01,bit infected,Iodine '
HCT,Hematocrit,Nobivaclepto4 A087C01 A033A01,bite abscess,Iodine ) Liters flank 1
HDDS,High dose dexamethasone suppression test,Nobivaclepto4 A090A02,bite/penetrating injury,Iodine AUTHORISE
HDL,High density lipoprotein,Nobivaclepto4 A111A01,Bladder non palpable,Iodine Calcium n't
HI,Hemagglutination inhibition,Nobivaclepto4 A111A02 4/2020,Bladder obscurred,Iodine am
H2O2,Hydrogen peroxide,Nobivaclepto4 a082a01.02-2019,Bladder palp nodular,Iodine am happy
HPF,High power field,Nobivaclepto4 a100a02,Bladder TCC,Iodine and
HSL,Hypertonic saline,Nobivaclepto4 a103a03,Bleeding,Iodine can
Hx,History,Nobviac tricate,bleeding,Iodine could
I,Iodine,Onsior,bleeding/bruising,Iodine could n't find
ICF,Intracellular fluid,Osurnia,blepharitis,Iodine do
IDST,Intradermal skin test,Oxygen,Blepharospasm,Iodine do n't feel
IFA,Indirect fluorescent antibody,Paracetamol,blepharospasm,Iodine do n't think
Ig,"G, M Immunoglobulin",Phosphorous - convenia,blindness,Iodine feel
IHA,Indirect hemagglutination,Pimobendan,blood Intranasal Intra-thoracic,Iodine felt crepitus
IMHA,Immune-mediated hemolytic anemia,Pradofloxacin,bloodshot,Iodine forgot
IO,Interosseous,Previcox,bomb,Iodine found
IRAP,Interleukin 1 receptor antagonist protein,Ranitidine,bone/jint injuries,Iodine have n't tried
ITP,Immune mediated thrombocytopenia,Sepsis,bony abnormalities,Iodine ill
IU,International units of measurements,Sodium,borborygmi,Iodine just trim Intranasal one
KOH,Potassium hydroxide,Sodium chloride,bored of Intra-thoracic,Iodine n3
LA,Large animal,Steroid,bottle chloramphenicol- rechk,Iodine nail
LDDS,Low dose dexamethasone suppression test,Surolan,bottle of cleanotic,Iodine see
LDH,Lactate dehydrogenase,Synulox,brachygnathia,Iodine suture
LDL,Low density lipoprotein,TC/FeLV a348a01/5w5j01,breathing difficulties aswell,Iodine think
LH,Luteinizing hormone,THORAX/HEART_NAD,Bronchitis,Iodine think Intra-thoracic
LIS,Laboratory information system,TN,bronchitis,Iodine think Intra-thoracic is a
LPF,Low power field,TRICAT,bruise,Iodine thought Iodine could
LVT,Licensed veterinary technician,TRICAT A378A01,bruised Vomiting,Iodine will
MAC,Minimal antibiotic concentration,TT4,bruising,Iodine would
MBC,Minimal bactericidal concentration,Takne,bulb abscess,Isathal
MCC,Milk cell count,Tartar/gum recessino At night 208 .,bums,KMnO4
MCH,Mean corpuscular hemoglobin,Thyroxine,Burns,LO
MCHC,Mean corpuscular hemoglobin concentration,Tramadol,burns,Legalon 1 a
MCV,Mean corpuscular volume,Trazodone,burping,Libeo
MEC,Minimal effective plasma concentration,Tri-A318C01,bursal disease,MNZ
Mg,Magnesium,TriCat,bursting/getting infected,MTZ
MIC,Minimal inhibitory concentration,Tricat,c/s/occational Vomiting,Magnesium
ml,Milliliter,Tricat A371C01 Feline leukemia virus 6RFY02,calcifications,Magnesium Vetmedin
MPV,Mean platelet volume,Tricat/FeLV,calcinosis cutis,Magnesium piriton
MRSA,Methicillin resistant Staphylococcus aureus,Triz,calculus,Magnesium then 2.5 Magnesium )
MTP,Micro total protein,URT 1 Â  Infection,CAN,Marbofloxacin
Na+,Sodium,UTI/L,canal erythema,Maxitrol
NaCl,Sodium chloride,Ucanines,canals Vomiting,Melox injec
NADH,Nicotinamide adenine dinucleotide,VACCS/FLEA TX/WORMERS,canines - Vomiting,Metabolizable
NAVTA,National Association of Veterinary Technicians in America,VDS,cannal inflammation,Metacam
NI,Neonatal isoerythrolysis,Vacc - tricat,carcinoma,Methadone inj
NMB,New methylene blue,Vit B12 injx,carcinoma - low grade,Metronidazole again
NPO,Non per os,VitB12,"cardiac , chest pathology",N-diethyl-4-methyl-1-piperazinecarboxamide
NVSL,National Veterinary Services Laboratories,Vitamin B12,cardiac and thoracic ausc,NSADs
nRBC,Nucleated red blood cells,Vitamin b12,Cardiac and thoracic ausc No abnormality,Nobivaclepto4 FOC
NSAID,Non-steroidal anti-inflammatory,Vivitonin,cardiac and thoracic ausc No abnormality,Non-steroidal
O2,Oxygen,WNLs,Cardiac and thoracic auscultation No abnormality,Non-steroidal anti-inflammatory
P,Phosphorous,Wormed,cardiac dse,Non-steroidal anti-inflammatory Intranasal
PCO2,Carbon dioxide partial pressure,Xylocaine,cardiac mass,Non-steroidal anti-inflammatory Treatment Owner Reports
PCR,Polymerase chain reaction,Ypozane,cardio inv,Non-steroidal anti-inflammatory for 2 more
PCV,Packed cell volume,Zidovudine,cardiomegaly,Non-steroidal anti-inflammatory for 3 days
PF,Platelet factor,Zylkene,caries,Nonsteroidal antiinflammatory drugs
pH,Negative logarithm of hydrogen ion activity,a046a01,carnasial infected,Nonsteroidal antiinflammatory drugs ( e.g .
Plt,Platelets,a086c02/04-2019,Carpal lump,Nonsteroidal antiinflammatory drugs )
PMSG,Pregnant mare serum gonadotropin / eCG equine,a090E01,Cataract,"Nonsteroidal antiinflammatory drugs ,"
chorionic,gonadotropin,a091a01 a040a02 a069b01,cataract,"Nonsteroidal antiinflammatory drugs , 2 weeks"
PO,Per os,a093b01,Cataracts,"Nonsteroidal antiinflammatory drugs , review 5-7d"
PO2,Oxygen partial pressure,a109b01,cataracts,Nonsteroidal antiinflammatory drugs - he
PO4,Phosphate,a312b01,caudal abdomen,Nonsteroidal antiinflammatory drugs - plan
POCT,Point of care testing,a347b01,caudal abdominal pain,Nonsteroidal antiinflammatory drugs .
PSS,Physiologic saline solution,a358a01 exp 12.2019,Caudal thoracic epaxial muscle spasming,Nonsteroidal antiinflammatory drugs . ''
PT,Prothrombin time,a503b01,Caudal trunk alopecia,Nonsteroidal antiinflammatory drugs At night saturday
PTH,Parathyroid hormone,"abdo palp- bladder small , soft and non-painful",CE,Nonsteroidal antiinflammatory drugs Intranasal case inflammatory
PTHrP,PTH related proteins,abdo palp/,Ce,Nonsteroidal antiinflammatory drugs Intranasal due
QA,Quality assurance,abdo palpation - rel.full bladder,CE - Mouth,Nonsteroidal antiinflammatory drugs Owner Reports referral for
QC,Quality control,abdo palpation welll,CE - Nervous,Nonsteroidal antiinflammatory drugs advised
QCM,Quality control material,abdo palpn - liver feels Vomiting,CE fatty lump right lateral abdo,Nonsteroidal antiinflammatory drugs also
QNS,Quantity not sufficient,abdo plpan,cellulitus,Nonsteroidal antiinflammatory drugs and
Rads,Radiographs,abdo palp - 2 x pustules and 4 x papules At night ventrum and skin slightly erythematous,Central nervous system disease,Nonsteroidal antiinflammatory drugs but
RBC,Red blood cell,"abdo palp - comfy , nothing abnormal",CHC,Nonsteroidal antiinflammatory drugs daily
RDW,Red cell distribution width,abdo palp - growling ,Cheilitis,Nonsteroidal antiinflammatory drugs dose to 1/2 tbt
RNA,Ribonucleic acid,abdo palp - no clear masses/pain,cheilitis,Nonsteroidal antiinflammatory drugs finished .
RSAT,Rapid slide agglutination test,abdo palp - soft,chekc mouth,Nonsteroidal antiinflammatory drugs first
RV,Rabies vaccine,abdo palp - very comfortable,chemosis,Nonsteroidal antiinflammatory drugs for
RVT,Registered Veterinary Technician,abdo palp and chest auscultation No abnormality,Chest,Nonsteroidal antiinflammatory drugs for 1 week
Rx,Prescription,abdo palp comfortable- ,chest - murmer auscultated,Nonsteroidal antiinflammatory drugs for 10-14
SA,Small animal,abdo palp fine,chest abdomen,Nonsteroidal antiinflammatory drugs for 5 days
SAP,Serum alkaline phosphatase,abdo palp sfot non-painful body,chest and abdomen,Nonsteroidal antiinflammatory drugs for another 7
SBA,Serum bile acids,abdo palp wnls,chest and heart clear,Nonsteroidal antiinflammatory drugs for hind legs
SD,Standard deviation,abx,Chest infection,Nonsteroidal antiinflammatory drugs given prev concerns re low usg/proteinuria
SDH,Sorbitol dehydrogenase,abx 21/9/19,chest mass,Nonsteroidal antiinflammatory drugs if
SDMA,Symmetric dimethylarginine,acupuncture,chest No abnormality,Nonsteroidal antiinflammatory drugs if lameness recurrent/persistet
SG,Specific gravity,amantadine,chest no adventitial lung soudns,Nonsteroidal antiinflammatory drugs if no better can
SI,International system of units,amox/clav,chesty cough,Nonsteroidal antiinflammatory drugs mainly for
SLE,Systemic lupus erythematosus,antacid,chew licks lips,Nonsteroidal antiinflammatory drugs not
SOP,Standard operating procedure,antbs,chiari,Nonsteroidal antiinflammatory drugs only
Sp,Species,anti-flea,choking,Nonsteroidal antiinflammatory drugs over
SQ,Subcutaneous,anti-histamine,chornic bronchitis,Nonsteroidal antiinflammatory drugs overnight
SRID,Single radial immunodiffusion,anti-inflam,Chronic active mastitis,Nonsteroidal antiinflammatory drugs resee
SST,Serum separator tube,anti-inflamm,chronic active mastitis,Nonsteroidal antiinflammatory drugs to
Sx,Surgery,anti-prurtic,Chronic Antigen infection,Nonsteroidal antiinflammatory drugs today
TIBC,Total iron binding capacity,antibos,chronic dental disease,Nonsteroidal antiinflammatory drugs too
TLI,Trypsin-like immunoreactivity,antibs,chronic disease,Nonsteroidal antiinflammatory drugs use
TNTC,Too numerous to count,antibs/rimadyl,chronic FB,Nonsteroidal antiinflammatory drugs yesterday
TP,Total plasma protein,antihistamine,chronic irritation,Omeprazole
TRH,Thyrotropin-releasing hormone,antihistamines,chronic otitis,PLI
TSH,Thyroid-stimulating hormone,antiparasticis,Chronic pododermatitis,Panacur
TTW,Transtracheal wash,aply abx drops 30mins later .,chronic poor doer,Phosphorous
T3,Triiodothyronine,arnica cream,Chronic skin disease,Phosphorous -
T4,Thyroxine,aspartate,chronic soft stools,Phosphorous - Signed
V+,Vomiting,asure,circle skin crusting,Phosphorous - convenia
VT,Veterinary technician / technologist,atenolol,CKD,Phosphorous .
UA,Urinalysis,atropine,"clear , small scabs",Phosphorous 200
UPC,Urine protein to creatinine ratio,ausucl,cleft palate,Phosphorous :
USDA,United States Department of Agriculture,azathioprine,cloudiness,Phosphorous : - Start meloxaid
VEE,Venezuelan equine encephalomyelitis,back/LS,Club,Phosphorous : 1ml vit b givne Subcutaneously
VLA,Veterinary Laboratory Association,baytril,cocci,Phosphorous Intranasal
VS,Vesicular stomatitis,BCS 9/9,cognitive dysfunction,Phosphorous [ ink mmk
vWF,Von Willebrand’s factor,Abdomen,colic,Phosphorous [ utting At night weight
WB,Western blot test,Buprenorphine,colic pain,Phosphorus 1.48
WBC,White blood cell,Belpharospasm,Colitis,Pi
WEE,Western equine encephalomyelitis,Benazepril,colitis,Pimobendan
WMT,Wisconsin mastitis test,Betamox,colitis Vomiting,Previcox
WNL,Within normal limits,Bicarb,collitis,Put surolan
WRI,Within reference intervals,Bilirubin,confusion,Ranitidine
WVA,World Veterinary Association,Bilious vomiting,congenital abnormalities,Rilexine
PAIVM,"Passive	accessory	intervertebral	movement",Biochemistry/Hematology,Congenital articular rigidity,Rimadyl 100
PBM,Photobiomodulation,Bisolvon,congenital incontinence,Rpt B12
PEMF,"Pulsed	electromagnetic	field",Blades,Congestive heart failure,Saline
PKB,"Prone	knee	bend",Blepharospasm,congestive heart failure,Septrin
PMH/PMHx,"Past	medical	history",Bloods/urine,congnitive dysfuntion,Sodium
PNF,"proprioceptive	neuromuscular	facilitation",Bloods/BP/urine,conjuctivitis,Sodium chloride removed
POC,"Plan	of	care",Body condition score,conjunctival congestion,Surolan
PPIVM,"Passive	physiological	intervertebral	movement",Booster (Pi/L4),conjunctival hyperaemia,Surolan req 'd
PRICE,"Pressure,	rest,	ice,	compression,	elevation",Borderline,conjunctival inflam,Surolan Â 
"PRO	",Pronation,Body - small lesions,conjunctival injection,Synuclav & administer 1st
PROM,"Passive	Range	of	Motion",Bran flakes - every other day,Conjunctivitis,Synulox
Pt,Patient,Brush,conjunctivitis,Tartar
PT,"Physical	Therapist",Bumps/spots,conjunctivits,Tartra
PTA,"Physical	therapist	assistant",Buscopan,Constipation,Thyroxine
PWB,"Partial	weight	bearing",Butorphanol,constipation,Thyroxine Owner
Q,Every,Calculus/gingivitis,convenia,Thyroxine bloods
r/o,"Rule	out",Calcium,cor,Tramadol
RICE,"Rest,	ice,	compression,	elevation",Calculos,cornea,Trazodone
ROM,"Range	of	Motion",Canals,cornea scar,TriCat
Rot,Rotation,Canigen,corneal,Triglycerides H
Rx,Treatment,"Cardio-thoracic auscultation - very muffled heart sounds, pericardial effusion",corneal defect,Triz cleaner
SCI,"Spinal	cord	injury",Carpodyl,corneal discolouration - grey,Urate stones
"SIJ	/	SI","Sacroiliac	joint",Carprofen,corneal edema,V-
SLR,"Straight	leg	raise",Carrots/other,corneal odema,VACC Intranasal
SOB,"Shortness	of	breath",Cartophen,Corneal oedema,VACC nobivacdhp
STG,"Short	term	goals",Cartrophen,corneal oedema,Vetergesic
STM,"Soft	tissue	mobilization",castratio,corneal opacity,Vetmedin
SUP,Supination,cbc/biochem/Calcium,corneal scar,Vetmedin Â 
T/S,"Thoracic	spine",cefovecin,corneal scar - no,Vit B12
TBI,"Traumatic	brain	injury",centraly,corneal scarring,Vit B12 injx .
"TENS	/	TNS","Transcutaneous	electrical	neuromuscular	stimulation",cephalexin,corneal ulcer,VitB12 injs
"Ther	Ex","Therapeutic	exercises",cephalosporins,Corneal ulcer RIGHT eye,Vitamin B12
TM,Treadmill,cerenia,Cough,Vitamin b12
TMJ,"Temporomandibular	joint",chemo,cough,Xylocaine
Trxn,Traction,"chest , abdmn , eyes/ears , skin/coat",Cough - A083A01,Zidovudine
TTWB,"Toe	Touch	weight	bearing",chest ausc abdo palp No abnormality,cough / retch,adaptil
Tx,Treatment,chest n. abso n. bladder n size .,Coughing,adaptil collar
Tx,Traction,chest/pyrexia,coughing,adaptil collar Intranasal
UMNL,"Upper	motor	neuron	lesion",chin thereare scabs,coughing 2-3,advantix
US,Ultrasound,chip/fine,coughing episodes - previous,amantadine
w/o,Without,chix/tuna,coughing gagging,anaesthetics
WBAT,"Weight	bearing	as	tolerated",chlor,coughing retching,anaesthetics Intranasal
"WC	/	w/c",Wheelchair,chloramphenicol,covenia,antacid
WFL,"Within	functional	limits",chlorhexidine,cracks,anti-emetics
WNL,"Within	normal	limits",cholesterol,cramping,anti-histamine
AAROM,"Active	Assisted	Range	of	Motion",ciclosporin,cramping epileptoid syndrome,anti-inflammatories
"ABD	/	abd",Abduction,clinadmycin,cranial abdomen,antiemetics
AD,"Assistive	device",clindamycin,cranial dorsal thickening,antihistamine
"ADD	/	add",Adduction,clinn,crepitant,antihistamines
ADL,"Activities	of	daily	living",clins,crepitation carpus,apoquel
AFO,"Ankle-foot	orthosis",clipepd,crepitus noted-,atenolol
AMA,"Against	medical	advice",cloaqua,cries,atropine
AROM,"Active	Range	of	Motion",clopidogrel,cruciate disease,azathioprine 1
Ax,Assessment,clorhexidine,cruciate insufficiency,baytril
B/L,Bilateral,coat-vg,crust and dry scale around nailbed nail,baytril for
BOS,"Base	of	support",codeine,crusting,benazepet 2.5mgs
BPPV,"Benign	paroxysmal	positional	vertigo	",coem,crusting of periorbital skin,benazepril
C/o,"Complaints	of	",colirium,crusty,bicarb
C/S,"Cervical	spine",colitus,crusty lesion,bisolvon
CC,"Chief	complaint",colvasone,Cushing,bisolvon powder
CKC,"Closed	kinetic	chain",comfortable-,cushingoid,bronchodilator - Vivitonin
COG,"Center	of	gravity",comg,Cushings,buprenorphine
Conc,Concentric,commidones,cushings,buprenorphine syringe
CP,"Cold	pack	or	Cerebral	Palsy",compelte,cutaneuos mass,buscopan
D/C,"Discharge	/	discontinue",conj'itis,cutanous mass,calcium
DDD,"Degenerative	disc	disease",conjucntiva,Cx No abnormality,calories
DOI,"Date	of	injury",contineu shampoo,cyanosis,cefovecin
DOS,"Date	of	surgery",continues/alopecia,cyanotic,cephalexin
Dx,Diagnosis,control/worms/fleas/insurance/chip/neuter/poisions,Cyst,cephalosporins
Ecc,Eccentric,conunctivititis,cystic ovaries,chloramphenicol
"EMS	/	Estim","Electrical	muscular	stimulation",convenia,cystis,chlorhexidine
